date,year,month,period,strategy,spy
2012-07,2012,7,family_office,-0.15,1.13
2012-08,2012,8,family_office,6.73,2.24
2012-09,2012,9,family_office,3.50,2.58
2012-10,2012,10,family_office,-1.27,-1.85
2012-11,2012,11,family_office,-2.31,0.57
2012-12,2012,12,family_office,4.19,0.90
2013-01,2013,1,family_office,0.16,5.17
2013-02,2013,2,family_office,4.67,1.35
2013-03,2013,3,family_office,4.86,3.74
2013-04,2013,4,family_office,2.70,1.92
2013-05,2013,5,family_office,3.53,2.33
2013-06,2013,6,family_office,-3.53,-1.35
2013-07,2013,7,family_office,5.71,5.08
2013-08,2013,8,family_office,-0.90,-2.90
2013-09,2013,9,family_office,1.40,3.13
2013-10,2013,10,family_office,2.06,4.59
2013-11,2013,11,family_office,4.93,3.04
2013-12,2013,12,family_office,3.37,2.52
2014-01,2014,1,family_office,1.51,-3.46
2014-02,2014,2,family_office,3.36,4.57
2014-03,2014,3,family_office,2.78,0.83
2014-04,2014,4,family_office,1.05,0.73
2014-05,2014,5,family_office,3.52,2.34
2014-06,2014,6,family_office,0.81,2.06
2014-07,2014,7,family_office,-0.08,-1.39
2014-08,2014,8,family_office,3.80,3.99
2014-09,2014,9,family_office,2.98,-1.41
2014-10,2014,10,family_office,-1.94,2.43
2014-11,2014,11,family_office,1.07,2.68
2014-12,2014,12,family_office,-6.19,-0.26
2015-01,2015,1,family_office,0.96,-3.01
2015-02,2015,2,family_office,4.78,5.74
2015-03,2015,3,family_office,-0.36,-1.59
2015-04,2015,4,family_office,-0.67,0.95
2015-05,2015,5,family_office,1.21,1.28
2015-06,2015,6,family_office,-10.65,-1.94
2015-07,2015,7,family_office,4.69,2.09
2015-08,2015,8,family_office,-4.79,-6.04
2015-09,2015,9,family_office,0.61,-2.48
2015-10,2015,10,family_office,8.99,8.43
2015-11,2015,11,family_office,1.89,0.29
2015-12,2015,12,family_office,4.28,-1.59
2016-01,2016,1,family_office,0.00,-4.97
2016-02,2016,2,family_office,-2.35,-0.14
2016-03,2016,3,family_office,8.19,6.78
2016-04,2016,4,family_office,0.94,0.38
2016-05,2016,5,family_office,1.90,1.79
2016-06,2016,6,family_office,3.92,0.25
2016-07,2016,7,family_office,4.03,3.68
2016-08,2016,8,family_office,-0.01,0.13
2016-09,2016,9,family_office,2.67,0.01
2016-10,2016,10,family_office,0.59,-1.83
2016-11,2016,11,family_office,2.76,3.70
2016-12,2016,12,family_office,-2.18,1.97
2017-01,2017,1,family_office,3.24,1.89
2017-02,2017,2,family_office,0.75,3.96
2017-03,2017,3,family_office,0.52,0.11
2017-04,2017,4,family_office,2.52,1.02
2017-05,2017,5,family_office,2.37,1.40
2017-06,2017,6,family_office,-2.16,0.62
2017-07,2017,7,family_office,4.26,2.05
2017-08,2017,8,family_office,0.22,0.30
