month,tb3ms_pct,source,note
2012-07,0.0971,derived,calendar-month mean of 21 daily observations
2012-08,0.1026,derived,calendar-month mean of 23 daily observations
2012-09,0.1053,derived,calendar-month mean of 19 daily observations
2012-10,0.1031,derived,calendar-month mean of 21 daily observations
2012-11,0.0938,derived,calendar-month mean of 21 daily observations
2012-12,0.07,derived,calendar-month mean of 20 daily observations
2013-01,0.0743,derived,calendar-month mean of 21 daily observations
2013-02,0.0989,derived,calendar-month mean of 19 daily observations
2013-03,0.087,derived,calendar-month mean of 20 daily observations
2013-04,0.06,derived,calendar-month mean of 22 daily observations
2013-05,0.0441,derived,calendar-month mean of 22 daily observations
2013-06,0.0505,derived,calendar-month mean of 20 daily observations
2013-07,0.0355,derived,calendar-month mean of 22 daily observations
2013-08,0.0436,derived,calendar-month mean of 22 daily observations
2013-09,0.016,derived,calendar-month mean of 20 daily observations
2013-10,0.05,derived,calendar-month mean of 23 daily observations
2013-11,0.068,derived,calendar-month mean of 20 daily observations
2013-12,0.0667,derived,calendar-month mean of 21 daily observations
2014-01,0.0433,derived,calendar-month mean of 21 daily observations
2014-02,0.0526,derived,calendar-month mean of 19 daily observations
2014-03,0.0524,derived,calendar-month mean of 21 daily observations
2014-04,0.031,derived,calendar-month mean of 21 daily observations
2014-05,0.0324,derived,calendar-month mean of 21 daily observations
2014-06,0.0357,derived,calendar-month mean of 21 daily observations
2014-07,0.0264,derived,calendar-month mean of 22 daily observations
2014-08,0.0329,derived,calendar-month mean of 21 daily observations
2014-09,0.02,derived,calendar-month mean of 21 daily observations
2014-10,0.0167,derived,calendar-month mean of 23 daily observations
2014-11,0.0216,derived,calendar-month mean of 19 daily observations
2014-12,0.0291,derived,calendar-month mean of 22 daily observations
2015-01,0.0275,derived,calendar-month mean of 20 daily observations
2015-02,0.0179,derived,calendar-month mean of 19 daily observations
2015-03,0.0277,derived,calendar-month mean of 22 daily observations
2015-04,0.0233,derived,calendar-month mean of 21 daily observations
2015-05,0.0165,derived,calendar-month mean of 20 daily observations
2015-06,0.015,derived,calendar-month mean of 22 daily observations
2015-07,0.0323,derived,calendar-month mean of 22 daily observations
2015-08,0.0719,derived,calendar-month mean of 21 daily observations
2015-09,0.0224,derived,calendar-month mean of 21 daily observations
2015-10,0.015,derived,calendar-month mean of 22 daily observations
2015-11,0.1253,derived,calendar-month mean of 20 daily observations
2015-12,0.2277,derived,calendar-month mean of 22 daily observations
2016-01,0.2553,derived,calendar-month mean of 19 daily observations
2016-02,0.3125,derived,calendar-month mean of 20 daily observations
2016-03,0.2941,derived,calendar-month mean of 22 daily observations
2016-04,0.2281,derived,calendar-month mean of 21 daily observations
2016-05,0.2743,derived,calendar-month mean of 21 daily observations
2016-06,0.2695,derived,calendar-month mean of 22 daily observations
2016-07,0.2975,derived,calendar-month mean of 20 daily observations
2016-08,0.2974,derived,calendar-month mean of 23 daily observations
2016-09,0.2919,derived,calendar-month mean of 21 daily observations
2016-10,0.3269,derived,calendar-month mean of 21 daily observations
2016-11,0.4488,derived,calendar-month mean of 21 daily observations
2016-12,0.5052,derived,calendar-month mean of 21 daily observations
2017-01,0.5115,derived,calendar-month mean of 20 daily observations
2017-02,0.5211,derived,calendar-month mean of 19 daily observations
2017-03,0.7374,derived,calendar-month mean of 23 daily observations
2017-04,0.7984,derived,calendar-month mean of 19 daily observations
2017-05,0.8891,derived,calendar-month mean of 22 daily observations
2017-06,0.9827,derived,calendar-month mean of 22 daily observations
2017-07,1.067,derived,calendar-month mean of 20 daily observations
2017-08,1.0143,derived,calendar-month mean of 23 daily observations
2017-09,1.0295,derived,calendar-month mean of 20 daily observations
2017-10,1.0739,derived,calendar-month mean of 22 daily observations
2017-11,1.2295,derived,calendar-month mean of 21 daily observations
2017-12,1.322,derived,calendar-month mean of 20 daily observations
2018-01,1.4133,derived,calendar-month mean of 21 daily observations
2018-02,1.5679,derived,calendar-month mean of 19 daily observations
2018-03,1.6967,derived,calendar-month mean of 21 daily observations
2018-04,1.7576,derived,calendar-month mean of 21 daily observations
2018-05,1.8641,derived,calendar-month mean of 22 daily observations
2018-06,1.899,derived,calendar-month mean of 21 daily observations
2018-07,1.9571,derived,calendar-month mean of 21 daily observations
2018-08,2.0339,derived,calendar-month mean of 23 daily observations
2018-09,2.1263,derived,calendar-month mean of 19 daily observations
2018-10,2.2467,derived,calendar-month mean of 23 daily observations
2018-11,2.3264,derived,calendar-month mean of 21 daily observations
2018-12,2.3658,derived,calendar-month mean of 19 daily observations
2019-01,2.3743,derived,calendar-month mean of 21 daily observations
2019-02,2.3884,derived,calendar-month mean of 19 daily observations
2019-03,2.4024,derived,calendar-month mean of 21 daily observations
2019-04,2.3829,derived,calendar-month mean of 21 daily observations
2019-05,2.3527,derived,calendar-month mean of 22 daily observations
2019-06,2.1705,derived,calendar-month mean of 20 daily observations
2019-07,2.0986,derived,calendar-month mean of 22 daily observations
2019-08,1.9495,derived,calendar-month mean of 22 daily observations
2019-09,1.8945,derived,calendar-month mean of 20 daily observations
2019-10,1.6467,derived,calendar-month mean of 23 daily observations
2019-11,1.542,derived,calendar-month mean of 20 daily observations
2019-12,1.5352,derived,calendar-month mean of 21 daily observations
2020-01,1.5224,derived,calendar-month mean of 21 daily observations
2020-02,1.5153,derived,calendar-month mean of 19 daily observations
2020-03,0.2864,derived,calendar-month mean of 22 daily observations
2020-04,0.1381,derived,calendar-month mean of 21 daily observations
2020-05,0.1275,derived,calendar-month mean of 20 daily observations
2020-06,0.1595,derived,calendar-month mean of 22 daily observations
2020-07,0.1268,derived,calendar-month mean of 22 daily observations
2020-08,0.1043,derived,calendar-month mean of 21 daily observations
2020-09,0.1086,derived,calendar-month mean of 21 daily observations
2020-10,0.1007,derived,calendar-month mean of 22 daily observations
2020-11,0.0915,derived,calendar-month mean of 20 daily observations
2020-12,0.0873,derived,calendar-month mean of 22 daily observations
2021-01,0.0837,derived,calendar-month mean of 19 daily observations
2021-02,0.0426,derived,calendar-month mean of 19 daily observations
2021-03,0.0313,derived,calendar-month mean of 23 daily observations
2021-04,0.021,derived,calendar-month mean of 21 daily observations
2021-05,0.018,derived,calendar-month mean of 20 daily observations
2021-06,0.0359,derived,calendar-month mean of 22 daily observations
2021-07,0.0524,derived,calendar-month mean of 21 daily observations
2021-08,0.0545,derived,calendar-month mean of 22 daily observations
2021-09,0.0419,derived,calendar-month mean of 21 daily observations
2021-10,0.0521,derived,calendar-month mean of 21 daily observations
2021-11,0.0514,derived,calendar-month mean of 21 daily observations
2021-12,0.06,derived,calendar-month mean of 22 daily observations
2022-01,0.1495,derived,calendar-month mean of 20 daily observations
2022-02,0.3258,derived,calendar-month mean of 19 daily observations
2022-03,0.4435,derived,calendar-month mean of 23 daily observations
2022-04,0.763,derived,calendar-month mean of 20 daily observations
2022-05,0.9833,derived,calendar-month mean of 21 daily observations
2022-06,1.4948,derived,calendar-month mean of 21 daily observations
2022-07,2.2325,derived,calendar-month mean of 20 daily observations
2022-08,2.6309,derived,calendar-month mean of 23 daily observations
2022-09,3.1267,derived,calendar-month mean of 21 daily observations
2022-10,3.7029,derived,calendar-month mean of 21 daily observations
2022-11,4.1502,derived,calendar-month mean of 21 daily observations
2022-12,4.2524,derived,calendar-month mean of 21 daily observations
2023-01,4.5375,derived,calendar-month mean of 20 daily observations
2023-02,4.6547,derived,calendar-month mean of 19 daily observations
2023-03,4.6917,derived,calendar-month mean of 23 daily observations
2023-04,4.9305,derived,calendar-month mean of 19 daily observations
2023-05,5.1355,derived,calendar-month mean of 22 daily observations
2023-06,5.1581,derived,calendar-month mean of 21 daily observations
2023-07,5.254,derived,calendar-month mean of 20 daily observations
2023-08,5.2965,derived,calendar-month mean of 23 daily observations
2023-09,5.3195,derived,calendar-month mean of 20 daily observations
2023-10,5.3359,derived,calendar-month mean of 22 daily observations
2023-11,5.27,derived,calendar-month mean of 21 daily observations
2023-12,5.2415,derived,calendar-month mean of 20 daily observations
2024-01,5.2248,derived,calendar-month mean of 21 daily observations
2024-02,5.2385,derived,calendar-month mean of 20 daily observations
2024-03,5.239,derived,calendar-month mean of 20 daily observations
2024-04,5.2414,derived,calendar-month mean of 22 daily observations
2024-05,5.2527,derived,calendar-month mean of 22 daily observations
2024-06,5.2442,derived,calendar-month mean of 19 daily observations
2024-07,5.1995,derived,calendar-month mean of 22 daily observations
2024-08,5.0473,derived,calendar-month mean of 22 daily observations
2024-09,4.722,derived,calendar-month mean of 20 daily observations
2024-10,4.5111,derived,calendar-month mean of 23 daily observations
2024-11,4.419,derived,calendar-month mean of 20 daily observations
2024-12,4.2705,derived,calendar-month mean of 21 daily observations
2025-01,4.21,derived,calendar-month mean of 20 daily observations
2025-02,4.2158,derived,calendar-month mean of 19 daily observations
2025-03,4.1995,derived,calendar-month mean of 21 daily observations
2025-04,4.209,derived,calendar-month mean of 21 daily observations
2025-05,4.2471,derived,calendar-month mean of 21 daily observations
2025-06,4.2335,derived,calendar-month mean of 20 daily observations
2025-07,4.2477,derived,calendar-month mean of 22 daily observations
2025-08,4.1238,derived,calendar-month mean of 21 daily observations
2025-09,3.9176,derived,calendar-month mean of 21 daily observations
2025-10,3.8193,derived,calendar-month mean of 23 daily observations
2025-11,3.7795,derived,calendar-month mean of 19 daily observations
2025-12,3.6007,derived,calendar-month mean of 15 daily observations; partial month (daily data end 2025-12-19)
2026-01,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
2026-02,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
2026-03,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
2026-04,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
2026-05,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
2026-06,3.6007,held_flat,held_flat: no daily data after 2025-12-19; 2025-12 value carried forward
