date,mcs,mcs_open,mcs_high,mcs_low,mcs_pe,mc50,mc50_open,mc50_high,mc50_low,mc50_pe,mc100,mc150,nifty,nifty_open,nifty_high,nifty_low,nifty_pe,n500,bank,vix,vix_high,vix_low,rate1d,futidx,futtri,arb,cash_ret,cash_ann_pct,cash_src,mcs_ret,mc50_ret,mc100_ret,mc150_ret,nifty_ret,n500_ret,bank_ret,fut_ret,futtri_ret,mcs_x,mc50_x,mc100_x,mc150_x,nifty_x,bank_x,nifty_x_measured
2012-02-21,,,,,,2459.1,2432.45,2464.25,2426.1,19.19,,,5607.15,5561.9,5621.5,5561.75,19.64,4447.5,11170.4,,,,,,,,0.0002438683291,,held_at_first_observation,,,,,,,,,,,,,,,,
2012-02-22,,,,,,2335.15,2468.7,2481.6,2323.8,18.53,,,5505.35,5609.75,5629.95,5491.35,19.29,4340.85,10747.15,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.05040461958,,,-0.01815539088,-0.02397976391,-0.03789031727,,,,-0.05061618353,,,-0.01836695484,-0.03810188122,
2012-02-23,,,,,,2318.5,2327.5,2344.1,2272.25,18.4,,,5483.3,5490.05,5537.4,5460.8,19.21,4322.9,10713.35,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.007130162945,,,-0.004005194947,-0.004135134824,-0.003145019842,,,,-0.007341726898,,,-0.0042167589,-0.003356583796,
2012-02-24,,,,,,2309.9,2328.7,2355.45,2289.4,18.33,,,5429.3,5479.15,5521.4,5405.9,19.02,4284.55,10506.8,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.003709294803,,,-0.009848084183,-0.008871359504,-0.01927968376,,,,-0.003920858756,,,-0.01005964814,-0.01949124771,
2012-02-27,,,,,,2216.65,2310.6,2311.05,2208.2,17.59,,,5281.2,5448.1,5449.8,5268.15,18.5,4165.05,10103.95,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.04036971297,,,-0.02727791796,-0.02789091036,-0.03834183576,,,,-0.04058127693,,,-0.02748948192,-0.03855339972,
2012-02-28,,,,,,2311.5,2230.2,2315.85,2230.2,18.34,,,5375.5,5310.5,5391.1,5306.45,19.05,4258.5,10484,,,,,,,,0.0002438683291,,held_at_first_observation,,0.04278979541,,,0.01785579035,0.02243670544,0.03761400244,,,,0.04257823146,,,0.0176442264,0.03740243849,
2012-02-29,,,,,,2347.4,2315.5,2369.7,2311.7,18.62,,,5385.2,5424.95,5458.8,5352.25,19.09,4275.55,10414.2,,,,,,,,0.0002438683291,,held_at_first_observation,,0.01553104045,,,0.001804483304,0.004003757191,-0.006657764212,,,,0.0153194765,,,0.001592919351,-0.006869328165,
2012-03-01,,,,,,2328.85,2344.45,2344.45,2301,18.48,,,5339.75,5366,5372.45,5297.5,18.92,4243.75,10288.9,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.007902360058,,,-0.008439797965,-0.007437639602,-0.01203164909,,,,-0.008113924011,,,-0.008651361918,-0.01224321305,
2012-03-02,,,,,,2313.3,2341.15,2346.5,2308.15,18.35,,,5359.35,5369.45,5392.55,5315.05,18.99,4254.5,10434.3,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.006677115314,,,0.003670583829,0.002533136966,0.0141317342,,,,-0.006888679268,,,0.003459019876,0.01392017025,
2012-03-03,,,,,,2312.65,2314.65,2319.7,2310.15,18.35,,,5359.4,5360.05,5369.6,5353.4,18.99,4256,10450.25,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.0002809838758,,,9.329489584e-06,0.0003525678693,0.001528612365,,,,-0.0004925478291,,,-0.0002022344636,0.001317048412,
2012-03-05,,,,,,2270.3,2313.8,2313.8,2261.85,18.01,,,5280.35,5342.55,5344.5,5265.7,18.71,4195.45,10178.85,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.01831232569,,,-0.01474978542,-0.01422697368,-0.02597067056,,,,-0.01852388964,,,-0.01496134938,-0.02618223451,
2012-03-06,,,,,,2239.95,2269.9,2317.6,2234.9,17.82,,,5222.4,5266,5382.05,5206.4,18.51,4151.4,10058.15,,,,,,,,0.0002438683291,,held_at_first_observation,,-0.01336827732,,,-0.0109746513,-0.01049946966,-0.01185792108,,,,-0.01357984127,,,-0.01118621525,-0.01206948503,
2012-03-07,,,,,,2248.95,2238.4,2258.95,2218.15,17.89,,,5220.45,5207.05,5243.85,5171.45,18.5,4146.95,10132.85,,,,,,,,0.0002438683291,,held_at_first_observation,,0.004017946829,,,-0.0003733915441,-0.001071927543,0.007426813082,,,,0.003806382876,,,-0.0005849554974,0.007215249129,
2012-03-09,,,,,,2334.4,2265.95,2337.55,2265.95,18.57,,,5333.55,5294.1,5342.3,5291.6,18.9,4238.85,10505.65,,,,,,,,0.0002438683291,,held_at_first_observation,,0.03799550902,,,0.02166479901,0.02216086521,0.03679122853,,,,0.03778394506,,,0.02145323506,0.03657966458,
