date,adj_price,price,price_contract,carry,carry_contract
1982-09-14,682.650000,123.700000,19821200.000000,,19830300.000000
1982-09-15,683.150000,124.200000,19821200.000000,,19830300.000000
1982-09-16,682.500000,123.550000,19821200.000000,,19830300.000000
1982-09-17,681.600000,122.650000,19821200.000000,,19830300.000000
1982-09-20,682.400000,123.450000,19821200.000000,,19830300.000000
1982-09-21,685.300000,126.350000,19821200.000000,,19830300.000000
1982-09-22,681.150000,122.200000,19821200.000000,,19830300.000000
1982-09-23,682.750000,123.800000,19821200.000000,,19830300.000000
1982-09-24,681.900000,122.950000,19821200.000000,,19830300.000000
1982-09-27,683.000000,124.050000,19821200.000000,,19830300.000000
1982-09-28,681.300000,122.350000,19821200.000000,,19830300.000000
1982-09-29,678.900000,119.950000,19821200.000000,,19830300.000000
1982-09-30,678.300000,119.350000,19821200.000000,,19830300.000000
1982-10-01,679.100000,120.150000,19821200.000000,,19830300.000000
1982-10-04,679.650000,120.700000,19821200.000000,,19830300.000000
1982-10-05,679.500000,120.550000,19821200.000000,,19830300.000000
1982-10-06,684.500000,125.550000,19821200.000000,,19830300.000000
1982-10-07,689.100000,130.150000,19821200.000000,,19830300.000000
1982-10-08,691.050000,132.100000,19821200.000000,,19830300.000000
1982-10-11,694.750000,135.800000,19821200.000000,,19830300.000000
1982-10-12,693.000000,134.050000,19821200.000000,,19830300.000000
1982-10-13,696.600000,137.650000,19821200.000000,,19830300.000000
1982-10-14,693.900000,134.950000,19821200.000000,,19830300.000000
1982-10-15,694.250000,135.300000,19821200.000000,,19830300.000000
1982-10-18,697.650000,138.700000,19821200.000000,,19830300.000000
1982-10-19,696.350000,137.400000,19821200.000000,,19830300.000000
1982-10-20,700.400000,141.450000,19821200.000000,,19830300.000000
1982-10-21,700.050000,141.100000,19821200.000000,,19830300.000000
1982-10-22,697.400000,138.450000,19821200.000000,,19830300.000000
1982-10-25,692.400000,133.450000,19821200.000000,,19830300.000000
1982-10-26,695.200000,136.250000,19821200.000000,,19830300.000000
1982-10-27,694.150000,135.200000,19821200.000000,,19830300.000000
1982-10-28,692.850000,133.900000,19821200.000000,,19830300.000000
1982-10-29,693.500000,134.550000,19821200.000000,,19830300.000000
1982-11-01,696.400000,137.450000,19821200.000000,,19830300.000000
1982-11-02,697.800000,138.850000,19821200.000000,,19830300.000000
1982-11-03,702.800000,143.850000,19821200.000000,,19830300.000000
1982-11-04,703.000000,144.050000,19821200.000000,,19830300.000000
1982-11-05,702.150000,143.200000,19821200.000000,,19830300.000000
1982-11-08,701.150000,142.200000,19821200.000000,,19830300.000000
1982-11-09,704.750000,145.800000,19821200.000000,,19830300.000000
1982-11-10,700.650000,141.700000,19821200.000000,,19830300.000000
1982-11-11,703.100000,144.150000,19821200.000000,,19830300.000000
1982-11-12,699.750000,140.800000,19821200.000000,,19830300.000000
1982-11-15,695.850000,136.900000,19821200.000000,,19830300.000000
1982-11-16,695.650000,136.700000,19821200.000000,,19830300.000000
1982-11-17,697.650000,138.700000,19821200.000000,,19830300.000000
