year,jjas_mm
1872,913.6
1873,757.3
1874,974.5
1875,929.7
1876,777.6
1877,604.0
1878,976.1
1879,897.8
1880,820.1
1881,861.3
1882,902.9
1883,849.2
1884,932.8
1885,847.4
1886,874.4
1887,899.3
1888,811.6
1889,930.6
1890,905.5
1891,792.4
1892,991.6
1893,954.9
1894,971.4
1895,823.6
1896,828.4
1897,891.1
1898,884.6
1899,629.0
1900,889.3
1901,722.0
1902,791.8
1903,860.8
1904,750.3
1905,716.4
1906,884.9
1907,777.4
1908,897.0
1909,889.3
1910,934.9
1911,736.3
1912,805.8
1913,784.4
1914,898.0
1915,780.6
1916,950.6
1917,1004.2
1918,650.8
1919,884.5
1920,719.0
1921,865.8
1922,869.0
1923,823.0
1924,862.6
1925,803.6
1926,902.6
1927,853.0
1928,767.7
1929,821.1
1930,804.4
1931,877.0
1932,803.4
1933,975.8
1934,913.4
1935,843.5
1936,908.2
1937,841.9
1938,908.2
1939,789.4
1940,853.1
1941,728.3
1942,957.7
1943,868.2
1944,920.3
1945,910.8
1946,903.6
1947,945.3
1948,873.9
1949,903.7
1950,876.9
1951,738.8
1952,792.9
1953,922.9
1954,885.3
1955,930.0
1956,983.2
1957,788.5
1958,889.3
1959,944.1
1960,839.7
1961,1020.2
1962,809.8
1963,857.9
1964,922.5
1965,709.3
1966,739.9
1967,860.1
1968,754.6
1969,831.0
1970,939.8
1971,886.8
1972,652.8
1973,913.4
1974,748.0
1975,962.7
1976,856.8
1977,883.2
1978,909.3
1979,707.7
1980,882.8
1981,852.2
1982,735.4
1983,955.6
1984,836.7
1985,759.8
1986,743.0
1987,697.1
1988,961.5
1989,866.6
1990,908.6
1991,816.1
1992,814.8
1993,846.0
1994,957.5
1995,819.6
1996,851.0
1997,854.5
1998,859.2
1999,807.8
2000,785.8
2001,794.4
2002,646.8
2003,856.1
2004,741.7
2005,828.5
2006,905.3
2007,947.1
2008,882.2
2009,702.0
2010,885.7
2011,902.9
2012,805.1
2013,947.3
2014,736.4
2015,728.1
2016,844.9
