season,year,anom_c,oni
DJF,1950,-1.53,la_nina
JFM,1950,-1.34,la_nina
FMA,1950,-1.16,la_nina
MAM,1950,-1.18,la_nina
AMJ,1950,-1.07,la_nina
MJJ,1950,-0.85,la_nina
JJA,1950,-0.54,la_nina
JAS,1950,-0.42,neutral
ASO,1950,-0.39,neutral
SON,1950,-0.44,neutral
OND,1950,-0.6,neutral
NDJ,1950,-0.8,neutral
DJF,1951,-0.82,neutral
JFM,1951,-0.54,neutral
FMA,1951,-0.17,neutral
MAM,1951,0.18,neutral
AMJ,1951,0.36,neutral
MJJ,1951,0.58,el_nino
JJA,1951,0.7,el_nino
JAS,1951,0.89,el_nino
ASO,1951,0.99,el_nino
SON,1951,1.15,el_nino
OND,1951,1.04,el_nino
NDJ,1951,0.81,el_nino
DJF,1952,0.53,el_nino
JFM,1952,0.37,neutral
FMA,1952,0.34,neutral
MAM,1952,0.29,neutral
AMJ,1952,0.2,neutral
MJJ,1952,0.0,neutral
JJA,1952,-0.08,neutral
JAS,1952,0.0,neutral
ASO,1952,0.15,neutral
SON,1952,0.1,neutral
OND,1952,0.04,neutral
NDJ,1952,0.15,neutral
DJF,1953,0.4,neutral
JFM,1953,0.6,el_nino
FMA,1953,0.63,el_nino
MAM,1953,0.66,el_nino
AMJ,1953,0.75,el_nino
MJJ,1953,0.77,el_nino
JJA,1953,0.75,el_nino
JAS,1953,0.73,el_nino
ASO,1953,0.78,el_nino
SON,1953,0.84,el_nino
OND,1953,0.84,el_nino
NDJ,1953,0.81,el_nino
DJF,1954,0.76,el_nino
JFM,1954,0.47,neutral
FMA,1954,-0.05,neutral
MAM,1954,-0.41,neutral
AMJ,1954,-0.54,la_nina
MJJ,1954,-0.5,la_nina
JJA,1954,-0.64,la_nina
JAS,1954,-0.84,la_nina
ASO,1954,-0.9,la_nina
SON,1954,-0.77,la_nina
OND,1954,-0.73,la_nina
NDJ,1954,-0.66,la_nina
DJF,1955,-0.68,la_nina
JFM,1955,-0.62,la_nina
FMA,1955,-0.69,la_nina
MAM,1955,-0.8,la_nina
AMJ,1955,-0.79,la_nina
MJJ,1955,-0.72,la_nina
JJA,1955,-0.68,la_nina
JAS,1955,-0.75,la_nina
ASO,1955,-1.09,la_nina
SON,1955,-1.42,la_nina
OND,1955,-1.67,la_nina
NDJ,1955,-1.47,la_nina
DJF,1956,-1.11,la_nina
JFM,1956,-0.76,la_nina
FMA,1956,-0.63,la_nina
MAM,1956,-0.54,la_nina
AMJ,1956,-0.52,la_nina
MJJ,1956,-0.51,la_nina
JJA,1956,-0.57,la_nina
JAS,1956,-0.55,la_nina
ASO,1956,-0.46,neutral
SON,1956,-0.42,neutral
OND,1956,-0.43,neutral
NDJ,1956,-0.43,neutral
DJF,1957,-0.25,neutral
JFM,1957,0.06,neutral
FMA,1957,0.41,neutral
MAM,1957,0.72,el_nino
AMJ,1957,0.92,el_nino
MJJ,1957,1.11,el_nino
JJA,1957,1.25,el_nino
JAS,1957,1.32,el_nino
ASO,1957,1.33,el_nino
SON,1957,1.39,el_nino
OND,1957,1.53,el_nino
NDJ,1957,1.74,el_nino
DJF,1958,1.81,el_nino
JFM,1958,1.66,el_nino
FMA,1958,1.27,el_nino
MAM,1958,0.93,el_nino
AMJ,1958,0.74,el_nino
MJJ,1958,0.64,el_nino
JJA,1958,0.57,el_nino
JAS,1958,0.43,neutral
ASO,1958,0.39,neutral
SON,1958,0.44,neutral
OND,1958,0.5,el_nino
NDJ,1958,0.61,el_nino
DJF,1959,0.61,el_nino
JFM,1959,0.62,el_nino
FMA,1959,0.52,el_nino
MAM,1959,0.33,neutral
AMJ,1959,0.2,neutral
MJJ,1959,-0.07,neutral
JJA,1959,-0.18,neutral
JAS,1959,-0.28,neutral
ASO,1959,-0.09,neutral
SON,1959,-0.03,neutral
OND,1959,0.05,neutral
NDJ,1959,-0.04,neutral
DJF,1960,-0.1,neutral
JFM,1960,-0.1,neutral
FMA,1960,-0.07,neutral
MAM,1960,0.03,neutral
AMJ,1960,0.02,neutral
MJJ,1960,0.03,neutral
JJA,1960,0.13,neutral
JAS,1960,0.24,neutral
ASO,1960,0.27,neutral
SON,1960,0.2,neutral
OND,1960,0.12,neutral
NDJ,1960,0.05,neutral
DJF,1961,0.04,neutral
JFM,1961,0.03,neutral
FMA,1961,0.04,neutral
MAM,1961,0.09,neutral
AMJ,1961,0.23,neutral
MJJ,1961,0.27,neutral
JJA,1961,0.14,neutral
JAS,1961,-0.13,neutral
ASO,1961,-0.3,neutral
SON,1961,-0.26,neutral
OND,1961,-0.19,neutral
NDJ,1961,-0.16,neutral
DJF,1962,-0.24,neutral
JFM,1962,-0.22,neutral
FMA,1962,-0.2,neutral
MAM,1962,-0.26,neutral
AMJ,1962,-0.28,neutral
MJJ,1962,-0.2,neutral
JJA,1962,-0.04,neutral
JAS,1962,-0.07,neutral
ASO,1962,-0.11,neutral
SON,1962,-0.22,neutral
OND,1962,-0.31,neutral
NDJ,1962,-0.43,neutral
DJF,1963,-0.4,neutral
