Year,Gold_Average_Price,Silver_Average_Price,Gold_Index,Silver_Index
1915,19.25,0.51,100.0,100.0
1916,19.47,0.67,101.14285714285714,131.37254901960785
1917,19.66,0.84,102.12987012987014,164.70588235294116
1918,19.84,0.98,103.06493506493506,192.156862745098
1919,20.03,1.13,104.05194805194806,221.56862745098036
1920,20.63,1.03,107.16883116883116,201.96078431372547
1921,20.69,0.63,107.48051948051949,123.52941176470588
1922,20.84,0.68,108.25974025974025,133.33333333333334
1923,20.75,0.65,107.79220779220779,127.45098039215685
1924,20.78,0.67,107.94805194805195,131.37254901960785
1925,20.75,0.69,107.79220779220779,135.2941176470588
1926,20.72,0.62,107.63636363636364,121.56862745098039
1927,20.75,0.57,107.79220779220779,111.76470588235293
1928,20.78,0.58,107.94805194805195,113.72549019607843
1929,20.72,0.53,107.63636363636364,103.921568627451
1930,20.69,0.38000000000000006,107.48051948051949,74.50980392156865
1931,22.59,0.29,117.35064935064936,56.86274509803921
1932,20.78,0.28,107.94805194805195,54.90196078431373
1933,26.47,0.3499999999999999,137.5064935064935,68.62745098039214
1934,35.0,0.48,181.8181818181818,94.11764705882352
1935,35.0,0.64,181.8181818181818,125.49019607843137
1936,35.0,0.45,181.8181818181818,88.23529411764706
1937,35.0,0.45,181.8181818181818,88.23529411764706
1938,35.0,0.43,181.8181818181818,84.31372549019608
1939,34.69,0.38999999999999996,180.20779220779218,76.47058823529412
1940,34.06,0.3499999999999999,176.93506493506496,68.62745098039214
1941,34.06,0.3499999999999999,176.93506493506496,68.62745098039214
1942,34.06,0.38000000000000006,176.93506493506496,74.50980392156865
1943,34.06,0.45,176.93506493506496,88.23529411764706
1944,34.06,0.45,176.93506493506496,88.23529411764706
1945,35.0,0.52,181.8181818181818,101.96078431372548
1946,35.0,0.8000000000000002,181.8181818181818,156.86274509803923
1947,35.0,0.7200000000000001,181.8181818181818,141.1764705882353
1948,35.0,0.7399999999999999,181.8181818181818,145.09803921568624
1949,31.88,0.7200000000000001,165.6103896103896,141.1764705882353
1950,35.0,0.7399999999999999,181.8181818181818,145.09803921568624
1951,35.0,0.89,181.8181818181818,174.50980392156862
1952,34.69,0.85,180.20779220779218,166.66666666666666
1953,35.0,0.85,181.8181818181818,166.66666666666666
1954,35.31,0.85,183.42857142857142,166.66666666666666
1955,35.31,0.89,183.42857142857142,174.50980392156862
1956,35.31,0.92,183.42857142857142,180.3921568627451
1957,35.0,0.92,181.8181818181818,180.3921568627451
1958,35.31,0.89,183.42857142857142,174.50980392156862
1959,35.31,0.92,183.42857142857142,180.3921568627451
1960,35.31,0.92,183.42857142857142,180.3921568627451
1961,35.31,0.93,183.42857142857142,182.35294117647058
1962,35.31,1.09,183.42857142857142,213.72549019607843
1963,35.31,1.29225,183.42857142857142,253.38235294117646
1964,35.31,1.2982500000000001,183.42857142857142,254.5588235294118
1965,35.31,1.2951666666666666,183.42857142857142,253.95424836601305
1966,35.31,1.2975833333333333,183.42857142857142,254.4281045751634
1967,35.31,1.65825,183.42857142857142,325.1470588235294
1968,40.2025,2.1875,208.84415584415584,428.92156862745094
1969,40.839166666666664,1.7983333333333331,212.15151515151516,352.61437908496725
1970,35.98583333333333,1.7516666666666667,186.93939393939394,343.4640522875817
1971,40.96666666666666,1.5183333333333333,212.81385281385278,297.7124183006536
1972,59.096666666666664,1.6975,306.995670995671,332.843137254902
1973,99.95416666666667,2.5908333333333333,519.2424242424242,508.0065359477124
1974,161.67916666666667,4.7508333333333335,839.891774891775,931.5359477124183
1975,160.4125,4.420833333333333,833.3116883116883,866.8300653594772
1976,123.79166666666667,4.3425,643.0735930735931,851.4705882352941
1977,148.95000000000002,4.6466666666666665,773.7662337662339,911.1111111111111
1978,196.79583333333335,5.498333333333334,1022.3160173160175,1078.1045751633987
1979,320.97499999999997,12.521666666666667,1667.4025974025974,2455.2287581699347
1980,607.7624999999999,19.475833333333334,3157.207792207792,3818.790849673203
1981,449.5833333333333,10.01,2335.4978354978352,1962.7450980392155
1982,376.1125,7.930833333333333,1953.831168831169,1555.065359477124
1983,419.3958333333333,11.330833333333333,2178.6796536796537,2221.7320261437903
1984,358.12083333333334,8.060833333333333,1860.3679653679653,1580.5555555555554
1985,320.8333333333333,6.164166666666667,1666.6666666666665,1208.6601307189542
1986,368.22499999999997,5.3975,1912.8571428571427,1058.3333333333335
1987,451.0916666666667,7.052499999999999,2343.3333333333335,1382.8431372549016
1988,432.21250000000003,6.4175,2245.2597402597403,1258.3333333333335
1989,380.1166666666666,5.4191666666666665,1974.6320346320342,1062.581699346405
1990,383.9041666666667,4.761666666666667,1994.3073593073595,933.6601307189543
1991,358.9375,3.9925,1864.6103896103896,782.843137254902
1992,343.2291666666667,3.92,1783.008658008658,768.627450980392
1993,363.9458333333334,4.41,1890.6277056277058,864.7058823529411
1994,384.6375,5.301666666666667,1998.116883116883,1039.5424836601308
1995,383.7625,5.203333333333333,1993.5714285714287,1020.2614379084966
1996,386.25416666666666,5.1475,2006.5151515151517,1009.3137254901961
1997,329.3333333333333,4.998333333333334,1710.8225108225106,980.0653594771243
1998,294.19166666666666,5.501666666666666,1528.2683982683982,1078.7581699346404
1999,280.59583333333336,5.28,1457.6406926406928,1035.2941176470588
2000,276.675,4.905,1437.2727272727273,961.7647058823529
2001,271.1333333333333,4.386666666666667,1408.4848484848485,860.1307189542483
2002,312.8625,4.6049999999999995,1625.2597402597403,902.9411764705881
2003,367.625,4.948333333333333,1909.74025974026,970.2614379084966
2004,409.80833333333334,6.6866666666666665,2128.874458874459,1311.111111111111
