# Per-country real annual total returns (fractions), 16 advanced economies.
# Source: Jorda-Schularick-Taylor Macrohistory Database R6
# (https://www.macrohistory.net/app/download/9834512569/JSTdatasetR6.xlsx), each series deflated by its own CPI. Cite JST when reusing.
# The FIRE explorer pool-bootstraps single-market runs from this table, so
# national disasters survive; it is deliberately NOT a diversified world index.
# Regenerate: make broadsample
iso,year,equity,bond,bill
AUS,1871,0.127539,,0.062343
AUS,1872,0.234622,,0.097443
AUS,1873,0.151686,,0.044000
AUS,1874,0.135631,,-0.003984
AUS,1875,0.090335,,0.014303
AUS,1876,0.102116,,0.030388
AUS,1877,0.103647,,0.014710
AUS,1878,-0.065392,,0.063412
AUS,1879,0.158200,,0.080788
AUS,1880,0.149057,,0.079719
AUS,1881,0.089722,,0.063619
AUS,1882,0.073268,,0.028672
AUS,1883,0.160262,,-0.056225
AUS,1884,0.029500,,0.034430
AUS,1885,0.113000,,0.048000
AUS,1886,0.029000,,0.047000
AUS,1887,0.318628,,0.075886
AUS,1888,0.318507,,0.092836
AUS,1889,-0.011000,,0.045000
AUS,1890,0.014000,,0.043000
AUS,1891,-0.090424,,0.058803
AUS,1892,0.079354,,0.059046
AUS,1893,-0.018810,,0.075079
AUS,1894,0.180983,,0.109441
AUS,1895,0.288345,,0.111345
AUS,1896,0.017000,,0.033000
AUS,1897,0.085000,,0.031000
AUS,1898,0.176389,,0.049074
AUS,1899,0.062000,,-0.023263
AUS,1900,0.102655,0.002382,0.013224
AUS,1901,-0.048407,-0.015045,0.011363
AUS,1902,0.082603,-0.058844,-0.036521
AUS,1903,0.199953,-0.030251,0.015186
AUS,1904,0.127869,0.063704,0.083279
AUS,1905,0.146000,0.088576,0.032500
AUS,1906,0.084226,0.062132,0.015847
AUS,1907,0.088000,-0.032572,0.031900
AUS,1908,0.136343,0.018841,-0.000347
AUS,1909,0.117539,0.009632,0.015434
AUS,1910,0.050833,0.018331,0.015674
AUS,1911,0.029042,-0.046045,-0.040211
AUS,1912,0.001377,-0.073509,-0.046756
AUS,1913,0.103329,0.060485,0.046592
AUS,1914,0.058300,-0.017059,-0.018650
AUS,1915,-0.132584,-0.087371,-0.069906
AUS,1916,-0.055231,0.015857,0.012496
AUS,1917,0.083557,-0.013065,-0.027329
AUS,1918,0.002644,-0.055340,-0.032498
AUS,1919,0.055111,-0.075265,-0.077936
AUS,1920,0.062832,0.005384,0.021927
AUS,1921,0.321120,0.206753,0.146859
AUS,1922,0.235887,0.084828,0.060485
AUS,1923,0.162000,0.040929,0.041469
AUS,1924,0.126374,0.026438,0.031736
AUS,1925,0.166102,0.079830,0.032442
AUS,1926,0.141000,0.041869,0.042091
AUS,1927,0.103564,0.038877,0.023144
AUS,1928,0.166396,0.035447,0.032703
AUS,1929,-0.053000,-0.016814,0.043439
AUS,1930,-0.233882,0.039993,0.135507
AUS,1931,0.225041,0.080322,0.085381
AUS,1932,0.301106,0.391234,0.076815
AUS,1933,0.256000,0.058059,0.027680
AUS,1934,0.232000,0.072372,0.025918
AUS,1935,0.089411,0.011204,0.012554
AUS,1936,0.161327,0.005208,-0.008000
AUS,1937,0.003520,-0.031952,0.002859
AUS,1938,-0.024510,-0.036154,0.003261
AUS,1939,0.022914,-0.009009,-0.005106
AUS,1940,-0.020946,0.058936,-0.031989
AUS,1941,-0.103462,-0.054446,-0.029939
AUS,1942,0.117161,0.004607,-0.036105
AUS,1943,0.080288,0.045864,0.013391
AUS,1944,0.071429,0.041053,0.013456
AUS,1945,0.114465,0.010309,
AUS,1946,0.107250,0.074847,
AUS,1947,0.083887,-0.102274,
AUS,1948,-0.055792,-0.024518,-0.057175
AUS,1949,-0.004649,-0.116250,-0.060908
AUS,1950,0.203403,-0.038546,-0.066310
AUS,1951,-0.203936,-0.234197,-0.148779
AUS,1952,-0.260391,-0.134448,-0.125692
AUS,1953,0.083625,0.042838,-0.011599
AUS,1954,0.177943,0.071654,0.026380
AUS,1955,0.080969,-0.115880,0.017169
AUS,1956,0.013567,-0.065382,-0.014572
AUS,1957,0.138816,0.015656,0.020445
AUS,1958,0.173572,0.078826,0.029368
AUS,1959,0.416919,0.053499,0.021105
AUS,1960,-0.096275,-0.049703,0.005756
AUS,1961,0.088652,0.015668,0.024171
AUS,1962,0.044910,0.144220,0.045812
