date,open,high,low,close
2010-07-23,18.9,19.719999,17.139999,19.24
2010-07-26,19.24,20.049999,18.620001,19.969999
2010-07-27,19.969999,20.16,18.959999,19.219999
2010-07-28,19.219999,19.809999,17.959999,19.52
2010-07-29,19.52,19.65,18.33,18.33
2010-07-30,18.33,19.23,16.25,18.940001
2010-08-02,18.940001,19.26,17.92,17.99
2010-08-03,17.99,18.26,16.780001,17.549999
2010-08-04,17.549999,17.639999,16.74,17.040001
2010-08-05,17.040001,17.719999,15.83,17.709999
2010-08-06,17.709999,17.709999,16.629999,17.370001
2010-08-09,17.370001,17.92,16.870001,17.0
2010-08-10,17.0,17.75,16.370001,17.33
2010-08-11,17.33,18.110001,16.389999,18.110001
2010-08-12,18.110001,18.709999,16.74,18.0
2010-08-13,18.0,18.0,15.87,16.74
2010-08-16,16.74,18.32,15.8,18.110001
2010-08-17,18.110001,18.110001,16.25,17.629999
2010-08-18,17.629999,17.76,15.42,16.4
2010-08-19,16.4,17.02,15.47,16.530001
2010-08-20,16.530001,16.870001,15.29,16.700001
2010-08-23,16.700001,17.299999,15.44,17.139999
2010-08-24,17.139999,17.799999,15.58,16.99
2010-08-25,16.99,19.35,15.4,18.92
2010-08-26,18.92,18.92,16.9,17.09
2010-08-27,17.09,19.629999,15.28,19.629999
2010-08-30,19.629999,19.629999,16.6,18.360001
2010-08-31,18.360001,19.42,17.59,18.469999
2010-09-01,18.469999,18.469999,16.66,16.700001
2010-09-02,16.700001,16.700001,15.13,16.15
2010-09-03,16.15,16.440001,15.23,15.86
2010-09-06,15.86,16.110001,15.09,15.22
2010-09-07,15.22,16.0,14.35,15.83
2010-09-08,15.83,16.32,15.16,15.97
2010-09-09,15.97,16.200001,14.94,15.92
2010-09-13,15.92,18.23,14.88,18.139999
2010-09-14,18.139999,20.629999,16.879999,18.6
2010-09-15,18.6,20.08,17.540001,19.43
2010-09-16,19.43,20.09,17.969999,18.85
2010-09-17,18.85,19.49,16.51,19.49
2010-09-20,19.49,21.969999,17.85,21.950001
2010-09-21,21.950001,24.299999,20.940001,22.629999
2010-09-22,22.629999,24.35,20.610001,24.290001
2010-09-23,24.290001,24.459999,20.709999,23.9
2010-09-24,23.9,23.9,21.58,21.709999
2010-09-27,21.709999,22.82,20.469999,22.360001
2010-09-28,22.360001,22.42,20.85,21.209999
2010-09-29,21.209999,22.57,18.799999,22.16
2010-09-30,22.16,22.950001,19.049999,22.25
2010-10-01,22.25,22.25,20.209999,21.43
2010-10-04,21.43,22.879999,21.43,22.799999
2010-10-05,22.799999,23.01,21.809999,22.17
2010-10-06,22.17,22.17,20.59,21.73
2010-10-07,21.73,22.780001,19.33,22.450001
2010-10-08,22.450001,22.450001,21.030001,21.4
2010-10-11,21.4,21.76,19.67,21.200001
2010-10-12,21.200001,22.219999,20.5,20.51
2010-10-13,20.51,20.51,19.01,20.02
2010-10-14,20.02,20.99,18.139999,20.6
2010-10-15,20.6,22.67,17.799999,22.65
2010-10-18,22.65,23.99,21.969999,22.35
2010-10-19,22.35,23.23,20.58,23.23
2010-10-20,23.23,23.860001,21.92,23.799999
2010-10-21,23.799999,23.799999,21.92,22.190001
2010-10-22,22.190001,22.440001,20.42,21.610001
2010-10-25,21.610001,22.040001,20.67,21.360001
2010-10-26,21.360001,21.6,18.469999,20.549999
2010-10-27,20.549999,21.76,20.09,21.02
2010-10-28,21.02,21.219999,20.280001,20.52
2010-10-29,20.52,22.0,20.030001,20.76
2010-11-01,20.76,21.190001,20.309999,20.92
