y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_start
HDFCBANK,SHREECEM,1.7827844457205992,0.4729004967534165,8.430218674483388e-09,6.238600647042944,0.9849679446393477,37,-4.0019721810403525e-14,0.032485745678396,False,Bank,Cement,2015-01-29
HDFCBANK,BAJFINANCE,3.6237042309740057,0.43270287243471706,2.648799966857746e-07,7.439022383134582,0.9823313695745964,34,-4.449115972757109e-15,0.03519625682225569,False,Bank,NBFC,2015-01-29
M&M,SHREECEM,1.5798517569054278,0.5346311518388573,0.00012897838211908239,11.051059877345649,0.974026620035985,30,4.375571040120564e-14,0.04868368073554378,False,Auto,Cement,2015-01-29
TATACONSUM,HDFC,-3.857997000773457,1.3302009925864418,0.00022075846448114185,13.774310640817811,0.8528494519689326,25,-4.511969868860226e-14,0.07862993619315241,False,Consumer,NBFC,2015-01-29
INDUSINDBK,KOTAKBANK,-0.47401562281265197,1.106172264893889,0.00031548148415989045,11.123133571288651,0.9772358772784715,25,4.323408180550874e-15,0.05841833040499467,True,Bank,Bank,2015-01-29
COALINDIA,POWERGRID,1.1355649189033326,0.9572449826725756,0.00031887626065128083,11.626380773710405,0.914531950158026,23,3.207898379617979e-14,0.05557076888992214,False,Metals & Mining,Utilities,2015-01-29
TATAMOTORS,EICHERMOT,3.453683915302336,0.3992238038702006,0.000333109399473852,15.131975056792307,0.9582978240308015,23,3.0099379778726466e-15,0.07751932047631072,True,Auto,Auto,2015-01-29
HDFCBANK,M&M,0.6444401404291314,0.8418283516619138,0.00043494528770700633,12.361522837157095,0.9624081875225458,31,-2.2965756280817524e-14,0.05107968545815041,False,Bank,Auto,2015-01-29
MARUTI,ADANIPORTS,2.1088662908922293,1.0371063129056521,0.0005103750152482362,13.880723781817041,0.9628544296359932,26,-3.6306055164011865e-14,0.09150593415642756,False,Auto,Infrastructure,2015-01-29
ULTRACEMCO,HDFCBANK,1.225844283322808,1.0954723318268207,0.000570755436874395,13.640165128772548,0.9590371282756508,25,-2.384923534379966e-16,0.060854042214002264,False,Cement,Bank,2015-01-29
HDFCBANK,SHREECEM,1.7032775205516342,0.4828956583407581,3.446123368691702e-09,6.074786200803543,0.9875994684540164,33,4.137783590190266e-15,0.0315462104734286,False,Bank,Cement,2015-05-06
HDFCBANK,BAJFINANCE,3.6887413553902775,0.4197164416805656,1.9826901233533092e-06,8.223228343000873,0.984108671857409,42,3.113793761340227e-14,0.03568004843632003,False,Bank,NBFC,2015-05-06
ADANIPORTS,MARUTI,-1.760351681575023,0.9252483170959501,6.940997762724896e-05,10.277041143001384,0.980857850893858,24,-5.437155722714523e-15,0.07002173585909643,False,Infrastructure,Auto,2015-05-06
ASIANPAINT,KOTAKBANK,0.7865162301061202,0.9026068574049819,0.00019598725994697698,13.266878549435718,0.9716855922152542,28,8.701563866866332e-14,0.06037227232287742,False,Consumer,Bank,2015-05-06
BAJFINANCE,KOTAKBANK,-4.936234637575229,1.677103683196362,0.00027006055097522055,13.96175964140746,0.9791569494086141,25,-3.4942066876615245e-14,0.09569085730289567,False,NBFC,Bank,2015-05-06
COALINDIA,POWERGRID,1.2163585193484658,0.9364986506483413,0.00031947414819788234,11.530063910633837,0.9337800776447978,22,3.542610061856822e-14,0.05473597631803723,False,Metals & Mining,Utilities,2015-05-06
ASIANPAINT,INDUSINDBK,1.2999371835464828,0.7947400663859918,0.0003662118327798694,15.709737500037049,0.9635483563307349,22,2.1358576283264916e-14,0.06835878079662208,False,Consumer,Bank,2015-05-06
HDFCBANK,MARUTI,2.009154465547735,0.5112126129091129,0.0003782763725687445,15.299867616357824,0.9698344105877029,23,6.348830926004599e-15,0.0489816462531448,False,Bank,Auto,2015-05-06
HDFC,TATACONSUM,3.772599543944852,0.5714489400863187,0.0004046555249695833,13.576093650182457,0.8248635006184454,23,2.7862485980963188e-14,0.047769077875587616,False,NBFC,Consumer,2015-05-06
TECHM,INFY,-5.489893813874188,1.9465982350852378,0.00047692836503631514,18.157546204686284,0.9506138576177924,19,6.07814797904837e-14,0.14508710123319374,True,IT,IT,2015-05-06
SHREECEM,HDFCBANK,-3.0828405602907942,1.994380900210459,1.9958104458975105e-07,7.068309178374812,0.9867136835252495,34,1.8838546243242734e-14,0.06679478613856452,False,Cement,Bank,2015-08-03
HDFCBANK,BAJFINANCE,3.8408960356880595,0.3899239789161331,5.098667034776431e-06,8.580185518698876,0.9840881752135267,29,-1.8630599708471673e-14,0.036140665763534356,False,Bank,NBFC,2015-08-03
HDFCBANK,MARUTI,2.1754512784728,0.4903102265492306,2.598830446651132e-05,9.874058787146096,0.9841225448296949,29,-2.1545375712805024e-14,0.03610192534563621,False,Bank,Auto,2015-08-03
HDFC,ITC,4.691017659435444,0.3653817168546922,3.106656220183805e-05,12.344947834244966,0.72197118303788,17,2.6922614637365173e-14,0.03867604917612769,False,NBFC,Consumer,2015-08-03
ADANIPORTS,SHREECEM,-2.5445100161579743,0.898321386555744,4.6905358180259384e-05,9.916819738035192,0.9802204875835228,29,4.868298592001824e-14,0.07456673973531046,False,Infrastructure,Cement,2015-08-03
SHREECEM,MARUTI,1.1260350233630523,0.9950722939185815,6.915501027233586e-05,11.878464906711965,0.9881341486873194,24,1.9548149107659238e-14,0.06314586534819566,False,Cement,Auto,2015-08-03
GRASIM,POWERGRID,2.8058220000393077,0.7908413686260589,0.00015537226718697193,12.856083410629392,0.932457849255675,29,-5.807582516010092e-14,0.049152685658060864,False,Cement,Utilities,2015-08-03
SHREECEM,KOTAKBANK,0.4687889327169157,1.3519247648301689,0.00024885418306469043,14.500802502231348,0.9782060898211515,22,-3.0494125743037635e-14,0.08536423865048563,False,Cement,Bank,2015-08-03
