pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
HDFCBANK/SHREECEM,2015-01-29,2015-02-06,6,-1,3.0094087537549736,0.49810086468227144,0.027438982541217835,target
HDFCBANK/SHREECEM,2015-03-26,2015-03-30,2,1,-2.9274988415344487,-0.4042251414763444,0.025140866609520952,target
HDFCBANK/BAJFINANCE,2015-01-29,2015-02-09,7,-1,2.1722814392661838,0.2637767083277414,0.022888064643671845,target
HDFCBANK/BAJFINANCE,2015-04-07,2015-05-05,18,1,-2.2543551644611783,-2.1587937928075354,-0.031593650049100364,eow
M&M/SHREECEM,2015-01-29,2015-02-03,3,1,-2.4052755136262505,-3.8299185535284153,-0.05349287543688845,stop
M&M/SHREECEM,2015-02-04,2015-02-05,1,1,-2.9897325123253085,-3.600711612981596,-0.03111122321979501,stop
M&M/SHREECEM,2015-02-10,2015-02-27,12,1,-2.9488526114009797,-0.3759829162510392,0.07166945141932654,target
TATACONSUM/HDFC,2015-03-23,2015-04-17,16,1,-2.0440966041303326,0.38861693425019034,0.023763755572122826,target
TATACONSUM/HDFC,2015-04-27,2015-05-05,5,1,-2.7444021497574997,-1.6359876676762914,0.003185033757080234,eow
INDUSINDBK/KOTAKBANK,2015-04-24,2015-05-05,6,1,-2.7525371132564715,-3.3086513812307237,-0.021280876246447394,eow
COALINDIA/POWERGRID,2015-04-08,2015-05-05,17,-1,2.0285620835047595,0.9823711113688306,0.0039106261564736825,eow
TATAMOTORS/EICHERMOT,2015-04-30,2015-05-05,2,1,-2.3818758352775045,-2.2698531991535873,-0.007667004756316293,eow
HDFCBANK/M&M,2015-01-30,2015-02-27,19,-1,3.351526538705742,0.43115554836858644,0.0134269518333927,target
MARUTI/ADANIPORTS,2015-04-28,2015-05-05,4,-1,2.585613946421142,-0.5651693741893918,0.057310016148986356,eow
ULTRACEMCO/HDFCBANK,2015-03-02,2015-03-09,4,-1,2.0324801143348776,0.21643028765699854,0.029565961212414133,target
ULTRACEMCO/HDFCBANK,2015-04-27,2015-05-05,5,1,-2.0563890826503166,-0.6511695166131785,0.014928061802332273,eow
HDFCBANK/SHREECEM,2015-05-06,2015-05-28,16,1,-2.9178606055127565,-0.011401034779113457,0.018110433477381505,target
HDFCBANK/SHREECEM,2015-07-03,2015-07-31,20,-1,2.0626298719871397,1.117878752463337,-0.012620099493672867,eow
HDFCBANK/BAJFINANCE,2015-05-06,2015-05-27,15,1,-2.5383039517010664,-0.08227575299400891,0.03481027106131059,target
ADANIPORTS/MARUTI,2015-06-01,2015-07-07,26,1,-2.1982159777840717,-0.21015133683486378,0.019734304557284768,target
ASIANPAINT/KOTAKBANK,2015-07-15,2015-07-31,12,-1,2.2631036106737374,3.5193977776651546,-0.042858746984946655,stop
BAJFINANCE/KOTAKBANK,2015-06-09,2015-06-11,2,-1,2.6634702852620675,3.8548877291851396,-0.03471359722410454,stop
BAJFINANCE/KOTAKBANK,2015-06-12,2015-07-09,19,-1,2.80694968062616,0.2943044761383833,0.014301851799609489,target
COALINDIA/POWERGRID,2015-05-29,2015-07-31,45,-1,2.196673750404467,1.3692409652929178,-0.06954264139834034,eow
ASIANPAINT/INDUSINDBK,2015-05-14,2015-06-08,17,-1,2.013382939807668,-0.415326291635182,0.028277490734426584,target
ASIANPAINT/INDUSINDBK,2015-06-11,2015-06-23,8,1,-2.104527795771051,-0.3032310563633143,0.011664450727927683,target
HDFCBANK/MARUTI,2015-05-06,2015-05-20,10,1,-2.300577613050459,-0.4589476629093278,0.024348692156709727,target
HDFCBANK/MARUTI,2015-07-07,2015-07-31,18,-1,2.2059373205220987,0.5148375126821794,0.010363766320200685,eow
HDFC/TATACONSUM,2015-05-06,2015-05-22,12,-1,2.393981901241024,0.4703115089128156,0.016604638772131676,target
HDFC/TATACONSUM,2015-06-03,2015-07-07,24,-1,2.003758907064591,0.42935265773775566,-0.001756492769712308,target
TECHM/INFY,2015-05-06,2015-05-27,15,-1,2.6494529925439227,-0.3507538152912008,0.046857775303153146,target
TECHM/INFY,2015-06-29,2015-07-31,24,1,-2.159321389904605,-1.193398661927572,-0.023843306604534844,eow
SHREECEM/HDFCBANK,2015-09-01,2015-09-24,16,-1,2.061944241291175,0.353314254376583,0.022593517490960918,target
HDFCBANK/BAJFINANCE,2015-09-07,2015-09-18,8,1,-2.13014892092721,0.24118100454843897,0.04632625357189679,target
HDFCBANK/MARUTI,2015-08-12,2015-10-06,36,1,-2.0155263855573504,0.4109936650283415,0.01484709499261632,target
HDFC/ITC,2015-10-06,2015-10-30,17,1,-3.2459799823724302,-0.46216665140499835,0.0024781346925116738,target
ADANIPORTS/SHREECEM,2015-08-17,2015-09-07,15,-1,3.120077100293731,0.19007177358973032,0.038810435895111406,target
ADANIPORTS/SHREECEM,2015-09-30,2015-10-15,10,1,-2.3888639126353386,-0.43237188655125613,0.04887970859534495,target
ADANIPORTS/SHREECEM,2015-10-20,2015-11-03,9,1,-2.068938083650359,-1.9489488006315363,-0.031989282327512435,eow
SHREECEM/MARUTI,2015-08-12,2015-08-28,12,1,-2.0762483219509806,-0.3453589826418165,0.029650888781421483,target
SHREECEM/MARUTI,2015-10-05,2015-10-15,8,-1,2.0632310346630156,0.4697515290347037,0.029821414389593244,target
GRASIM/POWERGRID,2015-10-28,2015-11-03,4,-1,2.234215696425726,1.5561539102874529,-0.0022243224200500598,eow
SHREECEM/KOTAKBANK,2015-08-28,2015-10-28,39,-1,2.0055541234221335,0.47898373697900887,-0.027243010837499762,target
ASIANPAINT/KOTAKBANK,2015-08-03,2015-09-21,34,-1,3.1113483293130075,0.19049390892296048,0.009474174989965268,target
ASIANPAINT/KOTAKBANK,2015-10-30,2015-11-03,2,1,-2.17046994736411,-2.449874349047001,-0.011754880079121947,eow
KOTAKBANK/BAJFINANCE,2015-08-03,2015-08-14,9,1,-2.0089788915788334,-0.17263402639674633,0.038597402554317095,target
KOTAKBANK/BAJFINANCE,2015-08-26,2015-09-18,16,1,-2.1922757486227473,-0.177012270046734,0.02603583979215486,target
HDFCBANK/SHREECEM,2015-11-19,2015-12-31,28,-1,2.090159679957005,0.4056289724330463,0.005725346428305608,target
HDFCBANK/SHREECEM,2016-01-15,2016-01-29,9,-1,2.2513439278014844,0.37620529839776884,0.015839944999518102,target
TITAN/POWERGRID,2015-11-20,2015-12-16,17,-1,2.0601909639825844,-0.015390621179187538,0.026399598649517624,target
TITAN/POWERGRID,2015-12-28,2016-01-21,18,1,-2.022109697602953,-0.21771507009900193,0.02640254745953144,target
HDFCBANK/BAJFINANCE,2016-01-08,2016-02-05,19,1,-2.043932372393542,-2.3637972315544533,-0.02508166043898119,eow
HDFCBANK/MARUTI,2016-01-29,2016-02-05,5,-1,2.1265376845197186,3.31362411503493,-0.03870433793243691,eow
SHREECEM/MARUTI,2015-11-16,2015-12-30,30,1,-2.0036749689423092,-0.49021626854508343,0.02089795109356067,target
SHREECEM/MARUTI,2016-02-01,2016-02-05,4,-1,2.1863194981260743,2.889807410730771,-0.01825175330877269,eow
BPCL/SHREECEM,2015-11-20,2015-12-30,26,-1,2.076936088743666,0.3461859015782503,0.02635483259223472,target
BPCL/SHREECEM,2016-01-15,2016-02-01,10,-1,2.8089800620019534,0.018279427451204377,0.06754392748580362,target
ASIANPAINT/KOTAKBANK,2015-11-04,2015-11-23,11,1,-2.3566706991219677,-0.43959788485598245,0.019805883900286363,target
TATACONSUM/HINDALCO,2015-12-17,2016-01-13,18,-1,2.3249895623579597,0.13969092465680702,0.022222817397826278,target
TATACONSUM/HINDALCO,2016-01-18,2016-02-05,13,1,-2.1170697930949722,-1.5562196896071128,0.00010736361726582534,eow
GRASIM/POWERGRID,2015-12-28,2016-02-05,28,1,-2.249201549815795,-1.7548743030780714,-0.0520378134357435,eow
TITAN/GRASIM,2015-11-23,2015-12-04,8,-1,2.4188873914465643,0.47636850685938525,0.018711335319331196,target
TITAN/GRASIM,2016-01-25,2016-02-05,8,-1,2.4769248141163405,2.2776336705781346,-0.018721790030693974,eow
