pair,times_selected,avg_adf_p,avg_half_life,avg_corr,avg_beta,same_sector,sector_y,sector_x,trades,total_pnl,win_rate
HDFC/HDFCBANK,12,0.0001779033444217021,12.47720613791102,0.9544431965548509,0.8470220402160127,False,NBFC,Bank,18.0,0.1378088964677294,0.7222222222222222
HDFC/BAJAJFINSV,7,0.0002748950129416754,13.183785513454021,0.9269334353873365,0.5123613337132383,True,NBFC,NBFC,10.0,0.1545163267112519,0.6
ULTRACEMCO/SHREECEM,7,0.0001334510137097452,9.922683920017795,0.9450999459297604,0.6869853485297528,True,Cement,Cement,10.0,0.111477188522506,0.9
HCLTECH/RELIANCE,6,0.00013730676199442358,11.639474580037252,0.9137719588830135,0.34235412258151293,False,IT,Energy,10.0,0.06138142362740233,0.8
HDFCBANK/SHREECEM,6,1.9477017856596487e-08,6.127169367580254,0.9882936947788955,0.49984764196238346,False,Bank,Cement,14.0,0.17624806574970894,0.8571428571428571
HEROMOTOCO/EICHERMOT,5,0.00027615001796973417,13.633578743439054,0.91991509457949,0.6295202027015856,True,Auto,Auto,8.0,-0.03136254120274874,0.5
HDFC/KOTAKBANK,5,0.00035493020196551716,13.593789885148093,0.9044488291477961,0.7651311657276937,False,NBFC,Bank,4.0,0.014906333401139529,0.5
NTPC/ONGC,5,5.1827060174210575e-05,10.83710649760006,0.9364763728058086,0.45791999524836297,False,Utilities,Energy,7.0,0.08076825897988434,0.7142857142857143
SHREECEM/ULTRACEMCO,4,1.4025561131007698e-05,8.961194934505006,0.955161878833107,1.2910524787907645,True,Cement,Cement,7.0,0.04740102624211161,0.7142857142857143
ULTRACEMCO/ADANIPORTS,4,0.00042685808479271995,13.17226101841811,0.8422614889639254,0.6429401338679959,False,Cement,Infrastructure,5.0,0.00980392007220246,0.6
SHREECEM/HDFCBANK,4,0.00012174421375359724,8.915996937164117,0.9833546348982335,1.8548369696672407,False,Cement,Bank,5.0,-0.03847079083996756,0.4
KOTAKBANK/HDFCBANK,4,9.901130360151966e-05,11.25615219078954,0.9782028240514908,0.9259657981837501,True,Bank,Bank,6.0,-0.016328899484579745,0.6666666666666666
HDFCBANK/MARUTI,4,0.00011976425025875721,11.512163414647366,0.9810841243328229,0.4937088076749169,False,Bank,Auto,6.0,-0.012978330565647948,0.6666666666666666
HDFCBANK/BAJFINANCE,4,7.69561110414985e-06,8.470300046565782,0.9835280801352477,0.4053360164744343,False,Bank,NBFC,5.0,0.047349278788797675,0.6
ICICIBANK/ADANIPORTS,3,0.0005015286656841969,13.721612397841689,0.9160233166019331,0.6100706759151137,False,Bank,Infrastructure,5.0,0.10066505289893263,0.8
HINDALCO/TATASTEEL,3,9.797708836724458e-05,13.221493389310936,0.9360675303119499,0.7479306810154691,True,Metals & Mining,Metals & Mining,5.0,-0.2325410027264453,0.2
ASIANPAINT/KOTAKBANK,3,0.00019037070694969725,12.809380877259619,0.97392408966578,0.8686300368476929,False,Consumer,Bank,4.0,-0.025333568173816972,0.5
POWERGRID/ADANIPORTS,3,1.9761477277289845e-06,8.672371511507793,0.8978057663516882,0.4020425423690987,False,Utilities,Infrastructure,6.0,0.09638367346811105,0.8333333333333334
NTPC/IOC,3,0.0006933247286212083,14.8558755829591,0.9173499206705534,0.5337790135551977,False,Utilities,Energy,5.0,0.0769489715518419,0.8
LT/HDFC,3,0.0001261510874594571,12.209378755627258,0.9589261689013258,0.9029578600201275,False,Infrastructure,NBFC,4.0,0.0021021998376364592,0.5
HCLTECH/BAJFINANCE,3,0.0005550869170800392,14.09267477443906,0.9052194976154632,0.2583540513591996,False,IT,NBFC,7.0,0.13669032491687189,0.7142857142857143
EICHERMOT/KOTAKBANK,3,0.0006756134338471949,16.477503146357858,0.9558892492289512,1.7770999182202811,False,Auto,Bank,5.0,0.11395451567610035,1.0
HDFCBANK/BAJAJFINSV,3,0.000224890401568336,11.963614028934904,0.9547418433507104,0.5146976026682073,False,Bank,NBFC,4.0,-0.07432435968142873,0.5
POWERGRID/ULTRACEMCO,3,3.152450868318003e-05,10.722565526079968,0.8706277361686471,0.511707622716219,False,Utilities,Cement,5.0,0.06167950102263135,0.8
TITAN/POWERGRID,3,1.6556106479102604e-06,7.180893534682951,0.9560319160260665,1.1908522293527184,False,Consumer,Utilities,4.0,0.07595506428473724,1.0
TCS/INFY,3,0.000537889877995674,14.678164763936513,0.967382523312916,0.8408260276284265,True,IT,IT,3.0,-0.010109702601177141,0.3333333333333333
