pair,trades,total_pnl,avg_pnl,win_rate,avg_days
HDFCBANK/SHREECEM,14,0.17624806574970894,0.01258914755355064,0.8571428571428571,11.285714285714286
SHREECEM/BPCL,3,0.16506583074808256,0.05502194358269419,1.0,7.666666666666667
HDFC/BAJAJFINSV,10,0.1545163267112519,0.01545163267112519,0.6,12.8
HDFC/HDFCBANK,18,0.1378088964677294,0.007656049803762745,0.7222222222222222,12.333333333333334
HCLTECH/BAJFINANCE,7,0.13669032491687189,0.01952718927383884,0.7142857142857143,13.285714285714286
HEROMOTOCO/ITC,1,0.12544683017456493,0.12544683017456493,1.0,33.0
EICHERMOT/KOTAKBANK,5,0.11395451567610035,0.02279090313522007,1.0,8.2
ULTRACEMCO/SHREECEM,10,0.111477188522506,0.0111477188522506,0.9,11.6
ICICIBANK/ADANIPORTS,5,0.10066505289893263,0.020133010579786524,0.8,12.4
POWERGRID/ADANIPORTS,6,0.09638367346811105,0.016063945578018508,0.8333333333333334,11.0
TCS/HCLTECH,5,0.08843577730664867,0.017687155461329734,1.0,11.6
NTPC/ONGC,7,0.08076825897988434,0.011538322711412047,0.7142857142857143,9.857142857142858
TCS/M&M,2,0.07789845402928593,0.03894922701464296,1.0,7.5
TCS/SUNPHARMA,3,0.07764844210677022,0.025882814035590073,1.0,8.0
ITC/ONGC,5,0.07706551718535988,0.015413103437071977,0.8,9.6
NTPC/IOC,5,0.0769489715518419,0.015389794310368379,0.8,10.4
NTPC/INDUSINDBK,4,0.07677451245732238,0.019193628114330594,0.75,11.75
TITAN/POWERGRID,4,0.07595506428473724,0.01898876607118431,1.0,12.0
TCS/AXISBANK,3,0.06782365221638326,0.022607884072127753,1.0,13.0
TATACONSUM/HINDALCO,3,0.06467717475432927,0.02155905825144309,1.0,18.666666666666668
KOTAKBANK/BAJFINANCE,2,0.06463324234647196,0.03231662117323598,1.0,12.5
SHREECEM/MARUTI,4,0.06211850095580271,0.015529625238950677,0.75,13.5
POWERGRID/ULTRACEMCO,5,0.06167950102263135,0.012335900204526271,0.8,10.8
HCLTECH/RELIANCE,10,0.06138142362740233,0.006138142362740233,0.8,15.1
M&M/TCS,4,0.05806397269839722,0.014515993174599305,0.75,9.75
HDFCBANK/HCLTECH,3,0.05804926882063266,0.01934975627354422,0.6666666666666666,12.666666666666666
MARUTI/ADANIPORTS,1,0.057310016148986356,0.057310016148986356,1.0,4.0
ADANIPORTS/SHREECEM,3,0.05570086216294392,0.01856695405431464,0.6666666666666666,11.333333333333334
KOTAKBANK/INDUSINDBK,4,0.054037306416735875,0.013509326604183969,1.0,12.25
BAJAJ-AUTO/NTPC,4,0.05258245014461692,0.01314561253615423,1.0,9.5
LT/TITAN,4,0.04823912973811871,0.012059782434529678,0.75,7.75
HCLTECH/ADANIPORTS,2,0.04785300499680657,0.023926502498403286,0.5,14.0
BAJAJ-AUTO/HINDALCO,3,0.04785056955883925,0.015950189852946415,0.6666666666666666,7.333333333333333
SHREECEM/ULTRACEMCO,7,0.04740102624211161,0.006771575177444515,0.7142857142857143,11.0
HDFCBANK/BAJFINANCE,5,0.047349278788797675,0.009469855757759535,0.6,13.4
BPCL/BAJAJFINSV,3,0.046356835435227936,0.015452278478409312,0.6666666666666666,20.0
HDFC/HCLTECH,3,0.04631005292763594,0.01543668430921198,0.6666666666666666,15.666666666666666
BAJAJ-AUTO/TATASTEEL,2,0.04524794568078286,0.02262397284039143,0.5,16.5
ULTRACEMCO/HDFCBANK,2,0.044494023014746406,0.022247011507373203,1.0,4.5
ASIANPAINT/HEROMOTOCO,2,0.04254357074955596,0.02127178537477798,1.0,8.0
HDFC/BRITANNIA,3,0.03952228974024054,0.01317409658008018,0.6666666666666666,5.0
SHREECEM/HEROMOTOCO,1,0.038793738879372236,0.038793738879372236,1.0,8.0
JSWSTEEL/HCLTECH,1,0.0386731285597256,0.0386731285597256,1.0,7.0
ADANIPORTS/ULTRACEMCO,1,0.03654462894296488,0.03654462894296488,1.0,26.0
ULTRACEMCO/SBIN,1,0.036522382249469965,0.036522382249469965,1.0,26.0
SBIN/ULTRACEMCO,2,0.034564026689886514,0.017282013344943257,1.0,15.5
BAJAJ-AUTO/BPCL,2,0.03389926031702907,0.016949630158514535,1.0,12.0
HINDUNILVR/TITAN,2,0.032216873486750855,0.016108436743375427,1.0,19.5
ONGC/COALINDIA,3,0.03201923128461531,0.010673077094871771,0.6666666666666666,5.0
HCLTECH/CIPLA,3,0.030009063343023147,0.01000302111434105,0.6666666666666666,7.0
ASIANPAINT/BAJAJFINSV,1,0.027698868455170965,0.027698868455170965,1.0,16.0
GRASIM/TITAN,2,0.027655472224298427,0.013827736112149214,0.5,18.5
HEROMOTOCO/TATASTEEL,3,0.02735902616100899,0.009119675387002996,0.6666666666666666,8.333333333333334
TATACONSUM/HDFC,2,0.02694878932920306,0.01347439466460153,1.0,10.5
SHREECEM/BAJFINANCE,2,0.026009228193409027,0.013004614096704514,0.5,13.5
ASIANPAINT/HDFCBANK,2,0.025870929751576077,0.012935464875788038,1.0,13.0
IOC/ONGC,1,0.025121513433797232,0.025121513433797232,1.0,20.0
HDFC/BAJFINANCE,3,0.025088292571936434,0.008362764190645479,0.6666666666666666,10.333333333333334
BPCL/SHREECEM,4,0.02416690197824546,0.006041725494561365,0.75,17.25
EICHERMOT/INDUSINDBK,1,0.024075979516319845,0.024075979516319845,1.0,5.0
BAJAJ-AUTO/SHREECEM,1,0.02345097690709446,0.02345097690709446,1.0,16.0
POWERGRID/UPL,1,0.023075287853250106,0.023075287853250106,1.0,11.0
TECHM/INFY,2,0.023014468698618302,0.011507234349309151,0.5,19.5
EICHERMOT/BAJAJFINSV,1,0.022230263625993778,0.022230263625993778,1.0,12.0
EICHERMOT/BAJFINANCE,1,0.021865481107411947,0.021865481107411947,1.0,11.0
KOTAKBANK/ASIANPAINT,5,0.020819628139013207,0.004163925627802641,0.6,7.4
TCS/INDUSINDBK,2,0.02081541850120272,0.01040770925060136,0.5,18.5
BAJAJFINSV/HDFC,1,0.020734287798344145,0.020734287798344145,1.0,16.0
ADANIPORTS/MARUTI,1,0.019734304557284768,0.019734304557284768,1.0,26.0
HDFC/KOTAKBANK,4,0.014906333401139529,0.003726583350284882,0.5,18.5
HDFC/TATACONSUM,2,0.014848146002419368,0.007424073001209684,0.5,18.0
HDFC/INDUSINDBK,1,0.0143530601790935,0.0143530601790935,1.0,22.0
HDFCBANK/M&M,1,0.0134269518333927,0.0134269518333927,1.0,19.0
COALINDIA/LT,1,0.012069401751286261,0.012069401751286261,1.0,5.0
ITC/HEROMOTOCO,1,0.011207117154810592,0.011207117154810592,1.0,3.0
BPCL/NTPC,2,0.011070760121023523,0.005535380060511762,0.5,5.0
INDUSINDBK/HDFCBANK,1,0.010874482807871257,0.010874482807871257,1.0,12.0
HCLTECH/ICICIBANK,1,0.010113827301131514,0.010113827301131514,1.0,38.0
INDUSINDBK/SHREECEM,2,0.00995297408489227,0.004976487042446135,0.5,12.5
ULTRACEMCO/ADANIPORTS,5,0.00980392007220246,0.001960784014440492,0.6,24.8
ICICIBANK/MARUTI,1,0.009616539677063782,0.009616539677063782,1.0,20.0
BAJAJ-AUTO/ULTRACEMCO,3,0.008455178166092703,0.002818392722030901,0.6666666666666666,15.0
M&M/GRASIM,1,0.00685911690688102,0.00685911690688102,1.0,14.0
UPL/ULTRACEMCO,1,0.0024837768960213683,0.0024837768960213683,1.0,22.0
HDFC/ITC,1,0.0024781346925116738,0.0024781346925116738,1.0,17.0
EICHERMOT/UPL,2,0.002421398450111265,0.0012106992250556325,0.5,22.0
LT/HDFC,4,0.0021021998376364592,0.0005255499594091148,0.5,18.25
SHREECEM/POWERGRID,2,0.0016158961700268835,0.0008079480850134418,0.5,20.0
HDFCBANK/INDUSINDBK,7,0.000583134057130924,8.330486530441772e-05,0.7142857142857143,10.714285714285714
BRITANNIA/RELIANCE,1,0.00017428189544336017,0.00017428189544336017,1.0,36.0
TITAN/GRASIM,2,-1.045471136277773e-05,-5.227355681388865e-06,0.5,8.0
ASIANPAINT/HDFC,1,-7.537927819103226e-05,-7.537927819103226e-05,0.0,17.0
LT/HDFCBANK,1,-0.0015590808023202992,-0.0015590808023202992,0.0,16.0
M&M/ASIANPAINT,1,-0.003347851590468187,-0.003347851590468187,0.0,39.0
HCLTECH/AXISBANK,1,-0.0037786449479237667,-0.0037786449479237667,0.0,35.0
TATAMOTORS/EICHERMOT,1,-0.007667004756316293,-0.007667004756316293,0.0,2.0
INFY/TCS,2,-0.007912886259626384,-0.003956443129813192,0.5,17.0
M&M/IOC,1,-0.009318106966459436,-0.009318106966459436,0.0,14.0
TCS/INFY,3,-0.010109702601177141,-0.003369900867059047,0.3333333333333333,19.333333333333332
HDFC/LT,1,-0.010126707866049314,-0.010126707866049314,0.0,27.0
HDFC/ICICIBANK,2,-0.011615801206900339,-0.0058079006034501696,0.5,4.0
M&M/SHREECEM,3,-0.01293464723735692,-0.004311549079118973,0.3333333333333333,5.333333333333333
HDFCBANK/MARUTI,6,-0.012978330565647948,-0.002163055094274658,0.6666666666666666,20.166666666666668
ULTRACEMCO/BAJAJ-AUTO,1,-0.014864255409330111,-0.014864255409330111,0.0,27.0
ASIANPAINT/INDUSINDBK,5,-0.01549473630663251,-0.003098947261326502,0.4,15.6
GRASIM/TATAMOTORS,4,-0.01574112828357066,-0.003935282070892665,0.5,13.75
KOTAKBANK/HDFCBANK,6,-0.016328899484579745,-0.0027214832474299574,0.6666666666666666,17.666666666666668
KOTAKBANK/EICHERMOT,1,-0.016352258774142765,-0.016352258774142765,0.0,47.0
TCS/POWERGRID,2,-0.016620055134446428,-0.008310027567223214,0.0,17.0
TECHM/ICICIBANK,1,-0.016652989276616778,-0.016652989276616778,0.0,45.0
HEROMOTOCO/BAJFINANCE,3,-0.017148321208436755,-0.005716107069478918,0.6666666666666666,3.3333333333333335
UPL/BPCL,1,-0.01905940848331738,-0.01905940848331738,0.0,32.0
BAJFINANCE/KOTAKBANK,2,-0.020411745424495052,-0.010205872712247526,0.5,10.5
INDUSINDBK/KOTAKBANK,1,-0.021280876246447394,-0.021280876246447394,0.0,6.0
ASIANPAINT/KOTAKBANK,4,-0.025333568173816972,-0.006333392043454243,0.5,14.75
SHREECEM/BAJAJ-AUTO,1,-0.02591984001394243,-0.02591984001394243,0.0,42.0
HCLTECH/BAJAJFINSV,3,-0.026344954471794614,-0.008781651490598204,0.3333333333333333,13.333333333333334
SHREECEM/KOTAKBANK,1,-0.027243010837499762,-0.027243010837499762,0.0,39.0
KOTAKBANK/SHREECEM,1,-0.029257064920327917,-0.029257064920327917,0.0,25.0
NTPC/POWERGRID,4,-0.029261872830176235,-0.007315468207544059,0.25,15.75
NTPC/HINDALCO,2,-0.03131672288054883,-0.015658361440274417,0.5,20.0
HEROMOTOCO/EICHERMOT,8,-0.03136254120274874,-0.003920317650343593,0.5,14.625
ICICIBANK/LT,2,-0.03621824023250135,-0.018109120116250675,0.5,21.5
SHREECEM/HDFCBANK,5,-0.03847079083996756,-0.007694158167993512,0.4,22.2
ASIANPAINT/JSWSTEEL,1,-0.042072893172095845,-0.042072893172095845,0.0,18.0
HCLTECH/INFY,2,-0.04318114395181494,-0.02159057197590747,0.5,15.0
TITAN/DIVISLAB,1,-0.043828504557516516,-0.043828504557516516,0.0,28.0
SHREECEM/INDUSINDBK,4,-0.06006454143455237,-0.015016135358638093,0.0,6.75
HDFC/JSWSTEEL,2,-0.06200648587930956,-0.03100324293965478,0.0,19.5
HINDALCO/GRASIM,3,-0.06498993069946177,-0.02166331023315392,0.6666666666666666,13.666666666666666
COALINDIA/POWERGRID,2,-0.06563201524186665,-0.03281600762093333,0.5,31.0
HCLTECH/DIVISLAB,1,-0.06792441069118735,-0.06792441069118735,0.0,7.0
