y,x,alpha,beta,adf_p,half_life,corr,crossings,mu,sd,same_sector,sector_y,sector_x,trade_year
HDFCBANK,SHREECEM,1.7827844457205992,0.4729004967534165,8.430218674483388e-09,6.238600647042944,0.9849679446393477,37,-4.0019721810403525e-14,0.032485745678396,False,Bank,Cement,2015
HDFCBANK,BAJFINANCE,3.6237042309740057,0.43270287243471706,2.648799966857746e-07,7.439022383134582,0.9823313695745964,34,-4.449115972757109e-15,0.03519625682225569,False,Bank,NBFC,2015
M&M,SHREECEM,1.5798517569054278,0.5346311518388573,0.00012897838211908239,11.051059877345649,0.974026620035985,30,4.375571040120564e-14,0.04868368073554378,False,Auto,Cement,2015
TATACONSUM,HDFC,-3.857997000773457,1.3302009925864418,0.00022075846448114185,13.774310640817811,0.8528494519689326,25,-4.511969868860226e-14,0.07862993619315241,False,Consumer,NBFC,2015
INDUSINDBK,KOTAKBANK,-0.47401562281265197,1.106172264893889,0.00031548148415989045,11.123133571288651,0.9772358772784715,25,4.323408180550874e-15,0.05841833040499467,True,Bank,Bank,2015
COALINDIA,POWERGRID,1.1355649189033326,0.9572449826725756,0.00031887626065128083,11.626380773710405,0.914531950158026,23,3.207898379617979e-14,0.05557076888992214,False,Metals & Mining,Utilities,2015
TATAMOTORS,EICHERMOT,3.453683915302336,0.3992238038702006,0.000333109399473852,15.131975056792307,0.9582978240308015,23,3.0099379778726466e-15,0.07751932047631072,True,Auto,Auto,2015
HDFCBANK,M&M,0.6444401404291314,0.8418283516619138,0.00043494528770700633,12.361522837157095,0.9624081875225458,31,-2.2965756280817524e-14,0.05107968545815041,False,Bank,Auto,2015
MARUTI,ADANIPORTS,2.1088662908922293,1.0371063129056521,0.0005103750152482362,13.880723781817041,0.9628544296359932,26,-3.6306055164011865e-14,0.09150593415642756,False,Auto,Infrastructure,2015
ULTRACEMCO,HDFCBANK,1.225844283322808,1.0954723318268207,0.000570755436874395,13.640165128772548,0.9590371282756508,25,-2.384923534379966e-16,0.060854042214002264,False,Cement,Bank,2015
TITAN,POWERGRID,-0.07748139492606587,1.3595494598824334,0.0006394271117859287,13.74187585713794,0.8865451829241521,19,4.710165238441458e-14,0.09311683284760408,False,Consumer,Utilities,2015
TATAMOTORS,INFY,-0.959176054278325,1.1841839120533204,0.0006400499310668363,20.737602097289905,0.8656985943881104,13,8.122838087045854e-14,0.13578514155002216,False,Auto,IT,2015
HDFC,ITC,4.180151079478787,0.4630420012880007,0.0008102966912074852,15.566021346056798,0.8808397627353552,18,-1.528230804690374e-14,0.04570709294224711,False,NBFC,Consumer,2015
TATAMOTORS,UPL,2.934040368910533,0.6141144661821303,0.0008931989865845111,20.261548254010844,0.9201270001418645,25,2.218566306563117e-14,0.10623220681468844,False,Auto,Chemicals,2015
KOTAKBANK,BAJFINANCE,3.1653440133231032,0.5529377267424914,0.0009394689420144385,14.563566307272739,0.9704659164079825,21,6.83638918549607e-15,0.05868367342874338,False,Bank,NBFC,2015
INDUSINDBK,SHREECEM,0.33037029643278665,0.6797626856058656,0.000955093186691912,13.865149809631205,0.9669902942764079,25,-2.5429394040223822e-14,0.07016432883960416,False,Bank,Cement,2015
UPL,ADANIPORTS,-1.6096010571774824,1.2395273111319711,0.0009821388793533551,14.538655331965552,0.9595231939590442,28,-7.852625075761425e-15,0.11446375718391598,False,Chemicals,Infrastructure,2015
