pair,entry,exit,days,side,entry_z,exit_z,pnl,reason
HDFCBANK/SHREECEM,2015-01-30,2015-03-26,37,-1,2.0763209552147313,-0.13168394366034622,0.04469893503302755,target
HDFCBANK/SHREECEM,2015-07-03,2015-07-22,13,-1,2.2771018506319933,3.628084345463113,-0.03379676756154692,stop
HDFCBANK/SHREECEM,2015-07-23,2015-09-01,28,-1,3.2980770585653643,0.06831062771333833,0.06723452745419602,target
HDFCBANK/SHREECEM,2015-11-17,2016-02-05,55,-1,2.0255892050511424,2.451074149938669,-0.013384337733655062,eow
HDFCBANK/BAJFINANCE,2015-04-16,2015-06-19,45,1,-2.1891254530203725,-3.613663018199292,-0.038995665159645525,stop
HDFCBANK/BAJFINANCE,2015-06-23,2015-06-29,4,1,-3.4022714486895467,-3.590601615315351,-0.00862658171451521,stop
HDFCBANK/BAJFINANCE,2015-06-30,2015-08-27,42,1,-3.2827047453330014,-3.53660871519636,-0.01023748964522865,stop
HDFCBANK/BAJFINANCE,2015-08-28,2015-09-01,2,1,-3.259535271218381,-3.750758638672564,-0.016067557154143028,stop
HDFCBANK/BAJFINANCE,2015-09-18,2015-12-08,51,1,-2.4500025137019814,-3.8030356046099625,-0.03723906238540574,stop
HDFCBANK/BAJFINANCE,2015-12-10,2015-12-11,1,1,-3.4985605369027835,-3.8536599682889934,-0.012723491119457699,stop
HDFCBANK/BAJFINANCE,2015-12-14,2015-12-15,1,1,-3.4240454789750636,-3.6797604853520824,-0.010281980172522296,stop
HDFCBANK/BAJFINANCE,2015-12-16,2015-12-18,2,1,-3.475160935834684,-3.766360620680993,-0.011153708624170838,stop
M&M/SHREECEM,2015-01-30,2015-02-03,2,1,-3.14372536305423,-4.120370131520334,-0.03498246900766428,stop
M&M/SHREECEM,2015-02-19,2015-03-03,8,1,-3.4259470250417916,-4.168528608390038,-0.027557194626540767,stop
M&M/SHREECEM,2015-03-11,2015-03-16,3,1,-2.906532514023954,-3.606284015651151,-0.02619847984879974,stop
M&M/SHREECEM,2015-03-17,2015-03-18,1,1,-3.414106623909189,-3.8353594216890268,-0.0173635608084034,stop
M&M/SHREECEM,2015-04-06,2015-04-15,6,1,-3.4066406475991413,-3.631713470755413,-0.011140069750087642,stop
M&M/SHREECEM,2015-04-16,2015-04-23,5,1,-3.21532222034505,-3.5889097468494,-0.015851457495389853,stop
M&M/SHREECEM,2015-06-15,2015-08-28,54,1,-3.392377079687027,-3.5083574237371575,-0.007679288039063435,stop
M&M/SHREECEM,2015-08-31,2015-09-01,1,1,-3.4900713494845657,-4.391532558130125,-0.03259739268591742,stop
M&M/SHREECEM,2015-09-29,2015-09-30,1,1,-3.4054279396213785,-3.717894417562596,-0.01391249150287523,stop
M&M/SHREECEM,2015-10-14,2015-10-19,3,1,-3.455672212606991,-3.958018048697655,-0.0199361057370449,stop
M&M/SHREECEM,2015-11-13,2015-12-16,22,1,-3.4960662667206517,-3.622864811962833,-0.008022477900898016,stop
M&M/SHREECEM,2015-12-17,2016-01-06,13,1,-3.4458170964783483,-4.079052778998885,-0.024088373523008987,stop
M&M/SHREECEM,2016-01-14,2016-01-19,3,1,-3.43921848244601,-3.6884500306556594,-0.01190646606366985,stop
M&M/SHREECEM,2016-01-22,2016-02-04,8,1,-2.9667474516776062,-3.5331990825167066,-0.02196975795444724,stop
TATACONSUM/HDFC,2015-06-12,2015-08-24,51,1,-2.2256163507129263,-3.68203654815125,-0.05314521432242693,stop
TATACONSUM/HDFC,2015-08-25,2015-08-27,2,1,-3.386514113086845,-3.5170107855032615,-0.008403459211530186,stop
TATACONSUM/HDFC,2015-08-28,2015-09-01,2,1,-3.3217653873100783,-3.6433388048720423,-0.014851122879423584,stop
