variant,cagr,vol,sharpe,sortino,max_dd,calmar,hit_days,total_ret,skew,kurt,n_trades,win_rate,avg_hold,stop_pct
L. B + top 10 pairs,0.029671583153941583,0.04874833342079809,0.6241988217363629,0.8087177637096593,-0.08329105537616177,0.3562397309043308,0.5191798941798942,0.1917697658644586,0.11157450497585027,7.540632791662823,346,0.708092485549133,18.083815028901736,0.09826589595375723
G. B + re-form every 63d,0.016813312855094686,0.03872602664475465,0.4499171596786643,0.5892383186724294,-0.07421177931362655,0.22655854650836374,0.5008818342151675,0.11912412989788224,-0.024307155657635988,10.565401260029804,837,0.6320191158900836,15.149342891278375,0.08602150537634409
H. B + wider stop (z=5),0.01824429711062958,0.04414129298062393,0.4316667146000313,0.5550639959369015,-0.09826575211369559,0.1856628247196494,0.5178571428571429,0.11458172624804508,-0.14897830477538684,6.590753398655243,603,0.6998341625207297,21.011608623548923,0.006633499170812604
"B. Rolling 60d z, static beta",0.017444449928960104,0.04369132105727777,0.41767859190297973,0.532742385320896,-0.09713608127273221,0.17958774639035252,0.5158730158730159,0.10933890085645004,-0.2853317243530276,5.75465756127282,664,0.6746987951807228,18.944277108433734,0.10240963855421686
"I. B + no stop, 30d time exit",0.016501549909079705,0.04167534755336663,0.4135663715726936,0.517118679507507,-0.09829937320554771,0.16787034719513763,0.5112433862433863,0.10318480409591269,-0.1965044187178852,7.671861239758577,624,0.6714743589743589,17.84455128205128,0.0
K. B + entry 2.5,0.013825680705942256,0.035385657774967084,0.4057286884127275,0.5278585039982985,-0.06898369245488034,0.20041955154814478,0.503968253968254,0.08587473247445154,0.015314802209390613,7.896872731817885,413,0.6561743341404358,20.375302663438255,0.13317191283292978
"E. Rolling 90d z, static beta",0.015822452975234436,0.04213328900094165,0.39367976708271024,0.4972235932394627,-0.10160405516351934,0.15572658935482572,0.5112433862433863,0.09877013724421158,-0.6073083316880601,9.64890966601404,532,0.6785714285714286,22.725563909774436,0.13909774436090225
J. B + entry 1.5,0.014805412707562526,0.04935207057579671,0.3224858011274796,0.4173553080261678,-0.09319241390686517,0.1588692908240234,0.5145502645502645,0.09218611193901638,-0.4199672738375832,4.64490992488383,961,0.6867845993756504,17.008324661810615,0.07908428720083246
F. B + re-form every 126d,0.006140295465461243,0.041833290081606085,0.1672495814798509,0.21450325671342613,-0.08242943028754868,0.07449154317870811,0.49694749694749696,0.04059210652031453,-0.33502257524900286,9.871449623997902,731,0.6415868673050615,17.98358413132695,0.08755129958960328
M. B + top 40 pairs,0.0053719521415795946,0.03911232370235579,0.15653739315317933,0.19413245699209755,-0.09769515090443193,0.05498688616423332,0.5191798941798942,0.032667693877075576,-0.41784576605652685,7.5142167264150395,1326,0.6470588235294118,19.261689291101057,0.11840120663650075
"D. Rolling 30d z, static beta",0.002971247315404879,0.04413273576086089,0.08929944203350121,0.10902132348878468,-0.1144342841205025,0.02596466031347802,0.5079365079365079,0.017960434343928355,-0.512851321161799,12.30314725449151,982,0.6466395112016293,12.773930753564155,0.03360488798370672
N. B + 2y formation,-0.0005850972933741927,0.04546226308776911,0.009856124953081202,0.012591090327496014,-0.12187301819122276,-0.004800876371635893,0.4931972789115646,-0.004088498944375463,-0.23705663955175973,12.075445398898934,747,0.6519410977242303,20.255689424364125,0.08165997322623829
"A. Static z, static beta (Gatev-style)",-0.020912906910054208,0.028912825281930753,-0.7165007407020211,-1.015788974847976,-0.1481728549166248,-0.14113858386424197,0.47685185185185186,-0.11909727618581567,0.011148503768877528,3.555674462508748,586,0.2781569965870307,18.708191126279864,0.6604095563139932
"C. Rolling 60d z, rolling 120d beta",-0.031234593483426165,0.04174182982959224,-0.7392935452546666,-1.0122678590929868,-0.191568702370016,-0.1630464324130378,0.4808201058201058,-0.17336891325091852,-0.3751035091820189,10.463571628422613,404,0.41089108910891087,36.25247524752475,0.09900990099009901
